30	2017-03-23 15:36:59	i was looking for an old and rare book about ancient agricultural practics in my country Venezuela that shows maybe the first group of cooking recipes gathered by someone ever	I'm preparing a workshop and cooking class for my students
29	2017-03-23 14:16:07	"I searched C. S. Lewis hoping to find his BBC broadcasts"	"Personal interest. I recently read his book Mere Christianity which was compiled from C. S. Lewis' radio broadcasts, and I wanted to hear him read some of these passages."
28	2017-03-23 11:53:17	travel and explorers accounts from c1600s	Personal interest and as a trial to see how website can work
27	2017-03-23 10:40:02	Vespasiano Gonzaga di Sabbioneta and Felipe II	To help japanese student
26	2017-03-23 09:59:40	I am looking for pictures of Stuttgart	General Interest in this City
25	2017-03-23 08:44:25	I'm looking for a picture	To accompany an article
24	2017-03-22 15:04:28	"Klementyna Tanska-Hoffmanowa's novel ""Karolina"""	To write an article
23	2017-03-22 14:15:19	An 18th century map of Norfolk	To compare availale maps with others i have
22	2017-03-22 13:49:04	Historic photos of European Institutions and historical figures	To create educational projects
21	2017-03-22 13:24:17	"I am looking for the 1919 film ""Les fetes de la victoire""."	I want to use an except in to illustrate a university lecture.
20	2017-03-22 12:28:46	I am looking for bibliography on Menander Rhetor (Menandere of Laodicea)	To write an article
19	2017-03-22 12:08:59	I was looking for images from Franz von Bayros' Divine Comedy	Masters Thesis
18	2017-03-22 11:44:09	"Find a digital edition of : ""Relacion Venida de Madrid,  Del Iuramento Del Principe En Siete de Março"" (1632 )"	To write an article
17	2017-03-21 23:40:01	I search  a coin	To understand one coin I have
16	2017-03-21 22:43:37	"I just found out that my great-grandfather Johann Wiederer,  served at the Hart bei Amstetten PoW camp during WWI Thus I wanted to find out something about it. So far I have seen it described as a ""concentration camp"" where many Russians died. Which makes me even more curious.."	The history of my family as it intersected with European history.
15	2017-03-21 19:50:13	I am trying to explore images of objects and monuments from ancient Italy and the Roman Empire.	I am a librarian teaching a session for students in an Art & Archaeology of Ancient Italy class at a university.  They need to find an object or monument that has not been covered in class to write a research paper.
14	2017-03-21 19:37:05	an old journal (Archiv für slavische Philologie)	to write an article
13	2017-03-21 18:29:05	Catalan history	Personal interest learning about catalan history
12	2017-03-21 18:06:28	I want working women images and videos from the XX century.	To create a video about women and Europe during the XX century
11	2017-03-21 16:36:20	I want to find information about old routes/path in the SW of Spain	To write an article
10	2017-03-21 15:06:55	Nothing specific. Just exploring.	"Doing a little how-to,  to teach others how to use Europeana easily (a library worker just trying to make everything even more easier to readers)."
9	2017-03-21 14:51:29	"Documents on the medieval family ""de Germiny"" who was living in the département of Vosges (France)."	Because the ancestors of Louis XIV king of France are described differently according to different authors and I want to make up my own opinion.
8	2017-03-21 13:59:46	I am looking for Great War photographs that taken on exactly 100 years ago	To share the photos on social media
7	2017-03-21 13:42:42	Pictures of famous biographers	for an academic journal
6	2017-03-21 12:03:57	Historical images	General interest
5	2017-03-21 11:38:56	"I am looking for photographs of The Trachian tomb near to village of Mezek,  Bulgaria."	To write a article.
4	2017-03-21 11:03:02	History of British India.	To write an article
3	2017-03-21 10:25:06	siblings	Ancestor
2	2017-03-21 09:34:42	I'm studying series of prints regarding the life of Saint Francis of Assisi	PHD
1	2017-03-21 09:15:13	"""Boletín Oficial de Instrucción Pública"""	To prepare teaching material.
